,CPU time,Recall,FDR,Peak RAM,Ref Accuracy,Extracted Ref (M),Methods,snp,F1 score,Complexity
81,0.07,1.0,0.0,0.86,0.0,0.0,LEMON,0.05,1.0,
82,0.18,1.0,0.0,21.36,1.0,2.38,LocalHGT,0.05,1.0,
83,0.1,1.0,0.0,1.22,0.0,0.0,LEMON,0.05,1.0,
84,0.1,1.0,0.0,21.39,1.0,0.13,LocalHGT,0.05,1.0,
85,0.06,1.0,0.0,0.77,0.0,0.0,LEMON,0.05,1.0,
86,0.17,0.95,0.0,21.42,0.95,0.25,LocalHGT,0.05,0.97,
87,0.11,1.0,0.0,1.16,0.0,0.0,LEMON,0.05,1.0,
88,0.24,1.0,0.0,21.45,1.0,3.17,LocalHGT,0.05,1.0,
89,0.14,1.0,0.0,1.22,0.0,0.0,LEMON,0.05,1.0,
90,0.2,1.0,0.0,21.41,1.0,0.91,LocalHGT,0.05,1.0,
91,0.12,1.0,0.0,1.17,0.0,0.0,LEMON,0.05,1.0,
92,0.16,1.0,0.0,21.48,1.0,0.5,LocalHGT,0.05,1.0,
93,0.11,1.0,0.0,1.17,0.0,0.0,LEMON,0.05,1.0,
94,0.12,1.0,0.0,21.33,1.0,0.11,LocalHGT,0.05,1.0,
95,0.07,1.0,0.0,0.94,0.0,0.0,LEMON,0.05,1.0,
96,0.11,1.0,0.0,21.37,1.0,0.13,LocalHGT,0.05,1.0,
97,0.07,1.0,0.0,0.8,0.0,0.0,LEMON,0.05,1.0,
98,0.14,0.97,0.0,21.35,1.0,0.14,LocalHGT,0.05,0.99,
99,0.08,0.97,0.0,1.07,0.0,0.0,LEMON,0.05,0.99,
