,Property,Value,Group,Cohort,Level,Origin
5702,algebraic_connectivity,0.0,CRC,ThomasAM_2018a,phylum,0.0
5703,density,-0.315,CRC,ThomasAM_2018a,phylum,-0.315
5704,assortativity,0.667,control,ThomasAM_2018b,phylum,0.667
5705,transitivity,0.3,control,ThomasAM_2018b,phylum,0.3
5706,algebraic_connectivity,0.631,control,ThomasAM_2018b,phylum,0.631
5707,density,-0.341,control,ThomasAM_2018b,phylum,-0.341
5708,assortativity,0.357,control,ThomasAM_2018b,phylum,0.357
5709,transitivity,0.375,control,ThomasAM_2018b,phylum,0.375
5710,algebraic_connectivity,0.0,control,ThomasAM_2018b,phylum,0.0
5711,density,-0.331,control,ThomasAM_2018b,phylum,-0.331
5712,assortativity,0.667,control,ThomasAM_2018b,phylum,0.667
5713,transitivity,0.6,control,ThomasAM_2018b,phylum,0.6
5714,algebraic_connectivity,0.0,control,ThomasAM_2018b,phylum,0.0
5715,density,-0.048,control,ThomasAM_2018b,phylum,-0.048
5716,assortativity,0.476,control,ThomasAM_2018b,phylum,0.476
5717,transitivity,0.25,control,ThomasAM_2018b,phylum,0.25
5718,algebraic_connectivity,0.0,control,ThomasAM_2018b,phylum,0.0
5719,density,-0.538,control,ThomasAM_2018b,phylum,-0.538
5720,assortativity,0.667,control,ThomasAM_2018b,phylum,0.667
5721,transitivity,0.4,control,ThomasAM_2018b,phylum,0.4
5722,algebraic_connectivity,1.0,control,ThomasAM_2018b,phylum,1.0
