,CRC,control,Pvalue
363,0.022727272727272728,0.05080213903743316,0.03769469069236638
364,0.022727272727272728,0.05080213903743316,0.03769469069236638
365,0.022727272727272728,0.05080213903743316,0.03769469069236638
366,0.022727272727272728,0.05080213903743316,0.03769469069236638
367,0.022727272727272728,0.05080213903743316,0.03769469069236638
368,0.19444444444444445,0.25668449197860965,0.03877063969690066
369,0.07828282828282829,0.12299465240641712,0.03889091886381598
370,0.050505050505050504,0.08823529411764706,0.03890461205709038
371,0.15151515151515152,0.20855614973262032,0.03930023499225546
372,0.15404040404040403,0.21122994652406418,0.039894641893993006
373,0.1590909090909091,0.21657754010695188,0.04104050397386661
374,0.05303030303030303,0.09090909090909091,0.04153741759085261
375,0.025252525252525252,0.053475935828877004,0.04327526294769477
376,0.10606060606060606,0.15508021390374332,0.043302478559968806
377,0.10606060606060606,0.15508021390374332,0.043302478559968806
378,0.13383838383838384,0.18716577540106952,0.04368033540812378
379,0.28535353535353536,0.35294117647058826,0.04432755958505444
380,0.1388888888888889,0.1925133689839572,0.04524331984925724
381,0.1414141414141414,0.19518716577540107,0.04599794218257897
382,0.045454545454545456,0.08021390374331551,0.04634318641234461
383,0.045454545454545456,0.08021390374331551,0.04634318641234461
384,0.4393939393939394,0.5106951871657754,0.04782481698278416
385,0.6616161616161617,0.7272727272727273,0.04843019401330187
386,0.8863636363636364,0.9278074866310161,0.0485396455381522
387,0.09595959595959595,0.14171122994652408,0.04953428301441847
388,0.047979797979797977,0.08288770053475936,0.04963842344600279
389,0.21212121212121213,0.2727272727272727,0.049734962815745215
390,0.2297979797979798,0.2914438502673797,0.051381906186030585
391,0.16161616161616163,0.21657754010695188,0.05139464493029428
392,0.10101010101010101,0.14705882352941177,0.05233353208305161
393,0.10101010101010101,0.14705882352941177,0.05233353208305161
394,0.4065656565656566,0.47593582887700536,0.052794993187151654
395,0.050505050505050504,0.0855614973262032,0.052888691980272996
396,0.08333333333333333,0.12566844919786097,0.05451941666468264
397,0.04040404040404041,0.07219251336898395,0.055069616063775174
398,0.022727272727272728,0.0481283422459893,0.055696272254488303
399,0.08585858585858586,0.12834224598930483,0.05632313269144078
400,0.06818181818181818,0.10695187165775401,0.05663348807693348
401,0.1893939393939394,0.24598930481283424,0.05702914694281249
402,0.14646464646464646,0.19786096256684493,0.05877985348386495
403,0.11363636363636363,0.16042780748663102,0.05882604584747005
404,0.20202020202020202,0.25935828877005346,0.05895439773553942
405,0.0707070707070707,0.10962566844919786,0.05900094504097541
406,0.04292929292929293,0.0748663101604278,0.059217655441170726
407,0.04292929292929293,0.0748663101604278,0.059217655441170726
408,0.20707070707070707,0.2647058823529412,0.05962046120958265
409,0.11868686868686869,0.1657754010695187,0.06121875888057868
410,0.07323232323232323,0.11229946524064172,0.0613202493681298
411,0.15656565656565657,0.20855614973262032,0.061760313705241036
412,0.05808080808080808,0.09358288770053476,0.062310945367362765
413,0.025252525252525252,0.05080213903743316,0.0629491256374239
414,0.025252525252525252,0.05080213903743316,0.0629491256374239
415,0.025252525252525252,0.05080213903743316,0.0629491256374239
416,0.025252525252525252,0.05080213903743316,0.0629491256374239
417,0.2777777777777778,0.339572192513369,0.06355558763517477
418,0.12878787878787878,0.17647058823529413,0.06565717358427214
419,0.12878787878787878,0.17647058823529413,0.06565717358427214
420,0.047979797979797977,0.08021390374331551,0.06727864416235102
421,0.10353535353535354,0.14705882352941177,0.06789057392693382
422,0.027777777777777776,0.053475935828877004,0.07006798382018016
423,0.027777777777777776,0.053475935828877004,0.07006798382018016
424,0.08333333333333333,0.12299465240641712,0.0700964774636672
425,0.050505050505050504,0.08288770053475936,0.0711777122177817
426,0.1111111111111111,0.15508021390374332,0.0722758065676919
427,0.06818181818181818,0.10427807486631016,0.07397431340886536
428,0.08838383838383838,0.12834224598930483,0.07417753575287357
429,0.08838383838383838,0.12834224598930483,0.07417753575287357
