,Property,Value,Group,Cohort,Level
266,algebraic_connectivity,1.00000000000001,control,ZellerG_2014,phylum
267,assortativity,-0.5248362445414851,control,ZellerG_2014,phylum
268,Node,10.0,control,ZellerG_2014,phylum
269,Edge,21.0,control,ZellerG_2014,phylum
270,density,0.42424242424242425,control,ZellerG_2014,phylum
271,transitivity,0.3698630136986301,control,ZellerG_2014,phylum
272,algebraic_connectivity,0.0,control,ZellerG_2014,phylum
273,assortativity,-0.312352941176472,control,ZellerG_2014,phylum
274,Node,12.0,control,ZellerG_2014,phylum
275,Edge,28.0,control,ZellerG_2014,phylum
276,density,0.37362637362637363,CRC,ZellerG_2014,phylum
277,transitivity,0.325,CRC,ZellerG_2014,phylum
278,algebraic_connectivity,0.7827336923055745,CRC,ZellerG_2014,phylum
279,assortativity,-0.4431482575310109,CRC,ZellerG_2014,phylum
280,Node,14.0,CRC,ZellerG_2014,phylum
281,Edge,34.0,CRC,ZellerG_2014,phylum
282,density,0.35947712418300654,CRC,ZellerG_2014,phylum
283,transitivity,0.4897959183673469,CRC,ZellerG_2014,phylum
284,algebraic_connectivity,0.9283491382763309,CRC,ZellerG_2014,phylum
285,assortativity,-0.6235144361511307,CRC,ZellerG_2014,phylum
286,Node,18.0,CRC,ZellerG_2014,phylum
287,Edge,55.0,CRC,ZellerG_2014,phylum
288,density,0.37362637362637363,CRC,ZellerG_2014,phylum
289,transitivity,0.410958904109589,CRC,ZellerG_2014,phylum
290,algebraic_connectivity,1.0000000000000158,CRC,ZellerG_2014,phylum
291,assortativity,-0.516181229773463,CRC,ZellerG_2014,phylum
292,Node,14.0,CRC,ZellerG_2014,phylum
293,Edge,34.0,CRC,ZellerG_2014,phylum
294,density,0.6944444444444444,CRC,ZellerG_2014,phylum
295,transitivity,0.6666666666666666,CRC,ZellerG_2014,phylum
296,algebraic_connectivity,1.0000000000000053,CRC,ZellerG_2014,phylum
297,assortativity,-0.4248534816727936,CRC,ZellerG_2014,phylum
298,Node,9.0,CRC,ZellerG_2014,phylum
299,Edge,25.0,CRC,ZellerG_2014,phylum
300,density,0.3787878787878788,CRC,ZellerG_2014,phylum
301,transitivity,0.2872340425531915,CRC,ZellerG_2014,phylum
302,algebraic_connectivity,1.0000000000000115,CRC,ZellerG_2014,phylum
303,assortativity,-0.6185888353641258,CRC,ZellerG_2014,phylum
304,Node,12.0,CRC,ZellerG_2014,phylum
305,Edge,25.0,CRC,ZellerG_2014,phylum
306,density,0.3787878787878788,control,ZellerG_2014,phylum
307,transitivity,0.27906976744186046,control,ZellerG_2014,phylum
308,algebraic_connectivity,1.0000000000000027,control,ZellerG_2014,phylum
309,assortativity,-0.6141922983773308,control,ZellerG_2014,phylum
310,Node,12.0,control,ZellerG_2014,phylum
311,Edge,25.0,control,ZellerG_2014,phylum
312,density,0.3787878787878788,control,ZellerG_2014,phylum
313,transitivity,0.32926829268292684,control,ZellerG_2014,phylum
314,algebraic_connectivity,0.8232830180973387,control,ZellerG_2014,phylum
315,assortativity,-0.5384949505918124,control,ZellerG_2014,phylum
316,Node,12.0,control,ZellerG_2014,phylum
317,Edge,25.0,control,ZellerG_2014,phylum
318,density,0.27472527472527475,CRC,ZellerG_2014,phylum
319,transitivity,0.35526315789473684,CRC,ZellerG_2014,phylum
320,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum
321,assortativity,-0.4379462916721423,CRC,ZellerG_2014,phylum
322,Node,14.0,CRC,ZellerG_2014,phylum
323,Edge,25.0,CRC,ZellerG_2014,phylum
324,density,0.34615384615384615,control,ZellerG_2014,phylum
325,transitivity,0.3611111111111111,control,ZellerG_2014,phylum
326,algebraic_connectivity,0.7832728027112742,control,ZellerG_2014,phylum
327,assortativity,-0.638945028294259,control,ZellerG_2014,phylum
328,Node,13.0,control,ZellerG_2014,phylum
329,Edge,27.0,control,ZellerG_2014,phylum
330,density,0.4358974358974359,control,ZellerG_2014,phylum
331,transitivity,0.4925373134328358,control,ZellerG_2014,phylum
332,algebraic_connectivity,0.0,control,ZellerG_2014,phylum
333,assortativity,-0.4176002254632554,control,ZellerG_2014,phylum
334,Node,13.0,control,ZellerG_2014,phylum
335,Edge,34.0,control,ZellerG_2014,phylum
336,density,0.3904761904761905,CRC,ZellerG_2014,phylum
337,transitivity,0.5064935064935064,CRC,ZellerG_2014,phylum
338,algebraic_connectivity,0.8877813459870629,CRC,ZellerG_2014,phylum
339,assortativity,-0.6273469517425442,CRC,ZellerG_2014,phylum
340,Node,15.0,CRC,ZellerG_2014,phylum
341,Edge,41.0,CRC,ZellerG_2014,phylum
342,density,0.32142857142857145,CRC,ZellerG_2014,phylum
343,transitivity,0.0,CRC,ZellerG_2014,phylum
344,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum
345,assortativity,-0.4917127071823204,CRC,ZellerG_2014,phylum
346,Node,8.0,CRC,ZellerG_2014,phylum
347,Edge,9.0,CRC,ZellerG_2014,phylum
348,density,0.5555555555555556,CRC,ZellerG_2014,phylum
349,transitivity,0.4642857142857143,CRC,ZellerG_2014,phylum
350,algebraic_connectivity,1.000000000000002,CRC,ZellerG_2014,phylum
351,assortativity,-0.5078201596713194,CRC,ZellerG_2014,phylum
352,Node,10.0,CRC,ZellerG_2014,phylum
353,Edge,25.0,CRC,ZellerG_2014,phylum
354,density,0.275,control,ZellerG_2014,phylum
355,transitivity,0.3356643356643357,control,ZellerG_2014,phylum
356,algebraic_connectivity,0.6905651557561463,control,ZellerG_2014,phylum
357,assortativity,-0.558673851219878,control,ZellerG_2014,phylum
358,Node,16.0,control,ZellerG_2014,phylum
359,Edge,33.0,control,ZellerG_2014,phylum
360,density,0.3484848484848485,CRC,ZellerG_2014,phylum
361,transitivity,0.34615384615384615,CRC,ZellerG_2014,phylum
362,algebraic_connectivity,0.7491843711161414,CRC,ZellerG_2014,phylum
363,assortativity,-0.6018480992137467,CRC,ZellerG_2014,phylum
364,Node,12.0,CRC,ZellerG_2014,phylum
365,Edge,23.0,CRC,ZellerG_2014,phylum
366,density,0.4,control,ZellerG_2014,phylum
367,transitivity,0.29508196721311475,control,ZellerG_2014,phylum
368,algebraic_connectivity,0.6374133324211909,control,ZellerG_2014,phylum
369,assortativity,-0.4666429882199731,control,ZellerG_2014,phylum
370,Node,11.0,control,ZellerG_2014,phylum
371,Edge,22.0,control,ZellerG_2014,phylum
372,density,0.4222222222222222,CRC,ZellerG_2014,phylum
373,transitivity,0.3,CRC,ZellerG_2014,phylum
374,algebraic_connectivity,0.8754343369480144,CRC,ZellerG_2014,phylum
375,assortativity,-0.5646806226516365,CRC,ZellerG_2014,phylum
376,Node,10.0,CRC,ZellerG_2014,phylum
377,Edge,19.0,CRC,ZellerG_2014,phylum
378,density,0.45454545454545453,control,ZellerG_2014,phylum
379,transitivity,0.425,control,ZellerG_2014,phylum
380,algebraic_connectivity,1.0000000000000082,control,ZellerG_2014,phylum
381,assortativity,-0.5610909090909092,control,ZellerG_2014,phylum
382,Node,12.0,control,ZellerG_2014,phylum
383,Edge,30.0,control,ZellerG_2014,phylum
384,density,0.48484848484848486,control,ZellerG_2014,phylum
385,transitivity,0.4368932038834951,control,ZellerG_2014,phylum
386,algebraic_connectivity,0.6400834053223547,control,ZellerG_2014,phylum
387,assortativity,-0.26516407026847894,control,ZellerG_2014,phylum
388,Node,12.0,control,ZellerG_2014,phylum
389,Edge,32.0,control,ZellerG_2014,phylum
390,density,0.3787878787878788,CRC,ZellerG_2014,phylum
391,transitivity,0.375,CRC,ZellerG_2014,phylum
392,algebraic_connectivity,0.3922406679638158,CRC,ZellerG_2014,phylum
393,assortativity,-0.4502027494807625,CRC,ZellerG_2014,phylum
394,Node,12.0,CRC,ZellerG_2014,phylum
395,Edge,25.0,CRC,ZellerG_2014,phylum
396,density,0.4175824175824176,CRC,ZellerG_2014,phylum
397,transitivity,0.4,CRC,ZellerG_2014,phylum
398,algebraic_connectivity,0.9091509541126492,CRC,ZellerG_2014,phylum
399,assortativity,-0.4975813177648043,CRC,ZellerG_2014,phylum
400,Node,14.0,CRC,ZellerG_2014,phylum
401,Edge,38.0,CRC,ZellerG_2014,phylum
402,density,0.4,CRC,ZellerG_2014,phylum
403,transitivity,0.5425531914893617,CRC,ZellerG_2014,phylum
404,algebraic_connectivity,0.8431570198125858,CRC,ZellerG_2014,phylum
405,assortativity,-0.5202871290929324,CRC,ZellerG_2014,phylum
406,Node,16.0,CRC,ZellerG_2014,phylum
407,Edge,48.0,CRC,ZellerG_2014,phylum
408,density,0.38461538461538464,CRC,ZellerG_2014,phylum
409,transitivity,0.43448275862068964,CRC,ZellerG_2014,phylum
410,algebraic_connectivity,1.0000000000000115,CRC,ZellerG_2014,phylum
411,assortativity,-0.5128742429026611,CRC,ZellerG_2014,phylum
412,Node,14.0,CRC,ZellerG_2014,phylum
413,Edge,35.0,CRC,ZellerG_2014,phylum
414,density,0.4065934065934066,CRC,ZellerG_2014,phylum
415,transitivity,0.41317365269461076,CRC,ZellerG_2014,phylum
416,algebraic_connectivity,0.878200940328991,CRC,ZellerG_2014,phylum
417,assortativity,-0.5368549926181986,CRC,ZellerG_2014,phylum
418,Node,14.0,CRC,ZellerG_2014,phylum
419,Edge,37.0,CRC,ZellerG_2014,phylum
420,density,0.3939393939393939,CRC,ZellerG_2014,phylum
421,transitivity,0.3333333333333333,CRC,ZellerG_2014,phylum
422,algebraic_connectivity,1.0000000000000047,CRC,ZellerG_2014,phylum
423,assortativity,-0.5665980593942962,CRC,ZellerG_2014,phylum
424,Node,12.0,CRC,ZellerG_2014,phylum
425,Edge,26.0,CRC,ZellerG_2014,phylum
426,density,0.3717948717948718,CRC,ZellerG_2014,phylum
427,transitivity,0.5368421052631579,CRC,ZellerG_2014,phylum
428,algebraic_connectivity,0.0,CRC,ZellerG_2014,phylum
429,assortativity,-0.20621159835030684,CRC,ZellerG_2014,phylum
