,Events,Cohort,Group,Bases
214,188,YuJ_2015,CRC,5963691551.0
215,68,YuJ_2015,CRC,4319033464.0
216,77,YuJ_2015,CRC,5458804627.0
217,246,YuJ_2015,control,5409995654.0
218,198,YuJ_2015,CRC,5746098424.0
219,171,YuJ_2015,CRC,5870370380.0
220,171,YuJ_2015,CRC,5620259779.0
221,394,YuJ_2015,CRC,5477743161.0
222,67,YuJ_2015,CRC,5867266433.0
223,607,YuJ_2015,CRC,6779395176.0
224,222,YuJ_2015,CRC,4324269958.0
225,619,YuJ_2015,control,5953975242.0
226,569,YuJ_2015,CRC,6116520802.0
227,261,YuJ_2015,CRC,7071081405.0
228,259,YuJ_2015,CRC,6648869146.0
229,144,YuJ_2015,CRC,5583533631.0
230,93,YuJ_2015,CRC,5490157283.0
231,546,YuJ_2015,CRC,6005812224.0
232,673,YuJ_2015,CRC,4798011366.0
233,91,YuJ_2015,CRC,4215741721.0
234,215,YuJ_2015,CRC,6659496745.0
235,447,YuJ_2015,CRC,7063847425.0
236,205,YuJ_2015,CRC,6074413096.0
237,359,YuJ_2015,CRC,5388058294.0
238,160,YuJ_2015,CRC,5805169579.0
239,319,YuJ_2015,CRC,5270117008.0
240,1584,YuJ_2015,control,6435852633.0
241,377,YuJ_2015,control,6895320232.0
242,63,YuJ_2015,control,5938321460.0
243,1465,YuJ_2015,control,6673610903.0
244,298,YuJ_2015,control,6814348601.0
245,719,YuJ_2015,control,6660180016.0
246,399,YuJ_2015,control,7024760687.0
247,586,YuJ_2015,control,5749744210.0
248,905,YuJ_2015,control,6628831167.0
249,314,YuJ_2015,CRC,6575946140.0
250,611,YuJ_2015,control,5974605135.0
251,45,YuJ_2015,control,6256894354.0
252,406,YuJ_2015,control,5934000840.0
253,850,YuJ_2015,control,4931948740.0
254,761,YuJ_2015,control,5154274247.0
255,491,YuJ_2015,control,5567635662.0
256,634,YuJ_2015,control,5725708568.0
257,359,YuJ_2015,control,4743989231.0
258,355,YuJ_2015,control,4605248434.0
259,379,YuJ_2015,control,5228553296.0
260,213,YuJ_2015,control,4284823360.0
261,436,YuJ_2015,control,4421327366.0
262,293,YuJ_2015,control,5532795294.0
263,514,YuJ_2015,control,4087572754.0
264,330,YuJ_2015,control,4378527165.0
265,1382,YuJ_2015,control,6031404940.0
266,368,YuJ_2015,control,5452370978.0
267,1099,YuJ_2015,control,5286392158.0
268,259,YuJ_2015,control,5913649423.0
269,905,YuJ_2015,control,5122974616.0
270,1237,YuJ_2015,control,7565053111.0
271,1118,YuJ_2015,control,5461060156.0
272,448,YuJ_2015,control,5409790102.0
273,331,YuJ_2015,control,6142339703.0
274,383,YuJ_2015,control,6072275849.0
275,342,YuJ_2015,control,4783479071.0
276,233,YuJ_2015,control,5705212005.0
277,795,YuJ_2015,control,5953705467.0
278,555,YuJ_2015,control,6214859452.0
279,253,YuJ_2015,control,5067016252.0
280,783,YuJ_2015,control,5847463811.0
281,570,YuJ_2015,control,5841330956.0
282,655,YuJ_2015,control,5963817711.0
283,918,YuJ_2015,control,4208577504.0
284,547,YuJ_2015,control,4325874871.0
285,809,YuJ_2015,control,5963396124.0
286,730,YuJ_2015,control,5988073670.0
287,66,YuJ_2015,CRC,6159612826.0
288,772,YuJ_2015,CRC,6291809354.0
289,142,YuJ_2015,CRC,4805566759.0
290,630,YuJ_2015,CRC,5300707451.0
291,261,YuJ_2015,CRC,4788302397.0
292,966,YuJ_2015,CRC,4853435538.0
293,193,YuJ_2015,CRC,5802726469.0
294,721,YuJ_2015,CRC,5228621466.0
295,686,YuJ_2015,CRC,3565318892.0
296,302,YuJ_2015,CRC,3719245972.0
297,307,YuJ_2015,CRC,3387430279.0
298,338,YuJ_2015,CRC,3694689270.0
299,283,YuJ_2015,CRC,3696564849.0
300,660,YuJ_2015,CRC,3525605588.0
301,63,YuJ_2015,CRC,3514766749.0
302,75,YuJ_2015,CRC,3836371213.0
303,361,YuJ_2015,CRC,4080498548.0
304,59,YuJ_2015,CRC,1077534564.0
305,461,YuJ_2015,CRC,4645971246.0
306,192,YuJ_2015,CRC,3592068766.0
307,288,YuJ_2015,CRC,4977096921.0
308,170,YuJ_2015,CRC,3861481843.0
309,119,YuJ_2015,CRC,4339363261.0
310,427,YuJ_2015,CRC,6454082758.0
311,592,YuJ_2015,CRC,5593184628.0
312,468,YuJ_2015,CRC,5796676630.0
313,474,YuJ_2015,CRC,5738342166.0
314,341,YuJ_2015,CRC,4855210014.0
