,Microhomology,Group
961,12,Expected
962,16,HGT_Junction
963,1,Expected
964,4,HGT_Junction
965,1,Expected
966,0,HGT_Junction
967,2,Expected
968,0,HGT_Junction
969,1,Expected
970,3,HGT_Junction
971,4,Expected
972,1,HGT_Junction
973,5,Expected
974,5,HGT_Junction
975,0,Expected
976,2,HGT_Junction
977,1,Expected
978,1,HGT_Junction
979,1,Expected
980,1,HGT_Junction
981,1,Expected
982,1,HGT_Junction
983,1,Expected
984,2,HGT_Junction
985,2,Expected
986,2,HGT_Junction
987,12,Expected
988,0,HGT_Junction
989,1,Expected
990,1,HGT_Junction
991,2,Expected
992,2,HGT_Junction
993,3,Expected
994,1,HGT_Junction
995,2,Expected
996,4,HGT_Junction
997,2,Expected
998,1,HGT_Junction
999,1,Expected
1000,1,HGT_Junction
1001,3,Expected
1002,4,HGT_Junction
1003,1,Expected
1004,3,HGT_Junction
1005,1,Expected
1006,1,HGT_Junction
1007,0,Expected
1008,1,HGT_Junction
1009,1,Expected
1010,0,HGT_Junction
1011,1,Expected
1012,1,HGT_Junction
1013,0,Expected
1014,1,HGT_Junction
1015,3,Expected
1016,0,HGT_Junction
1017,1,Expected
1018,0,HGT_Junction
1019,5,Expected
1020,18,HGT_Junction
1021,0,Expected
1022,0,HGT_Junction
1023,1,Expected
1024,0,HGT_Junction
1025,1,Expected
1026,1,HGT_Junction
1027,2,Expected
1028,2,HGT_Junction
1029,0,Expected
1030,0,HGT_Junction
1031,7,Expected
1032,0,HGT_Junction
1033,0,Expected
1034,3,HGT_Junction
1035,2,Expected
1036,1,HGT_Junction
1037,5,Expected
1038,1,HGT_Junction
1039,4,Expected
1040,0,HGT_Junction
1041,0,Expected
1042,0,HGT_Junction
1043,1,Expected
1044,1,HGT_Junction
1045,10,Expected
1046,20,HGT_Junction
1047,5,Expected
1048,5,HGT_Junction
1049,0,Expected
1050,0,HGT_Junction
1051,0,Expected
1052,0,HGT_Junction
1053,7,Expected
1054,8,HGT_Junction
1055,1,Expected
1056,1,HGT_Junction
1057,4,Expected
1058,11,HGT_Junction
1059,1,Expected
1060,5,HGT_Junction
1061,4,Expected
1062,0,HGT_Junction
1063,1,Expected
1064,0,HGT_Junction
1065,0,Expected
1066,1,HGT_Junction
1067,0,Expected
1068,0,HGT_Junction
1069,1,Expected
1070,1,HGT_Junction
1071,0,Expected
1072,0,HGT_Junction
1073,13,Expected
1074,0,HGT_Junction
1075,0,Expected
1076,2,HGT_Junction
1077,4,Expected
1078,2,HGT_Junction
1079,0,Expected
1080,1,HGT_Junction
1081,1,Expected
1082,4,HGT_Junction
1083,0,Expected
1084,0,HGT_Junction
1085,1,Expected
1086,4,HGT_Junction
1087,0,Expected
1088,0,HGT_Junction
1089,0,Expected
1090,0,HGT_Junction
1091,4,Expected
1092,0,HGT_Junction
1093,1,Expected
1094,3,HGT_Junction
1095,1,Expected
1096,1,HGT_Junction
1097,1,Expected
1098,0,HGT_Junction
1099,0,Expected
1100,0,HGT_Junction
1101,4,Expected
1102,3,HGT_Junction
1103,9,Expected
1104,1,HGT_Junction
1105,1,Expected
1106,0,HGT_Junction
1107,8,Expected
1108,7,HGT_Junction
1109,0,Expected
1110,0,HGT_Junction
1111,1,Expected
1112,1,HGT_Junction
1113,0,Expected
1114,1,HGT_Junction
1115,1,Expected
1116,3,HGT_Junction
1117,0,Expected
1118,4,HGT_Junction
1119,0,Expected
1120,0,HGT_Junction
1121,0,Expected
1122,0,HGT_Junction
1123,0,Expected
1124,0,HGT_Junction
1125,0,Expected
1126,4,HGT_Junction
1127,1,Expected
1128,2,HGT_Junction
1129,1,Expected
1130,0,HGT_Junction
1131,4,Expected
1132,1,HGT_Junction
1133,0,Expected
1134,2,HGT_Junction
1135,0,Expected
1136,0,HGT_Junction
1137,0,Expected
1138,1,HGT_Junction
1139,0,Expected
1140,18,HGT_Junction
1141,5,Expected
1142,2,HGT_Junction
1143,0,Expected
1144,0,HGT_Junction
1145,0,Expected
1146,0,HGT_Junction
1147,0,Expected
1148,0,HGT_Junction
1149,0,Expected
1150,19,HGT_Junction
1151,0,Expected
1152,1,HGT_Junction
1153,2,Expected
1154,4,HGT_Junction
1155,9,Expected
1156,1,HGT_Junction
1157,0,Expected
1158,0,HGT_Junction
1159,0,Expected
1160,1,HGT_Junction
1161,7,Expected
1162,1,HGT_Junction
1163,2,Expected
1164,0,HGT_Junction
1165,0,Expected
1166,0,HGT_Junction
1167,0,Expected
1168,0,HGT_Junction
1169,1,Expected
1170,5,HGT_Junction
1171,6,Expected
1172,1,HGT_Junction
1173,0,Expected
1174,0,HGT_Junction
1175,0,Expected
1176,2,HGT_Junction
1177,0,Expected
1178,0,HGT_Junction
1179,1,Expected
1180,1,HGT_Junction
1181,0,Expected
1182,1,HGT_Junction
1183,2,Expected
1184,0,HGT_Junction
1185,0,Expected
1186,1,HGT_Junction
1187,0,Expected
1188,4,HGT_Junction
1189,1,Expected
1190,0,HGT_Junction
1191,2,Expected
1192,0,HGT_Junction
1193,0,Expected
1194,5,HGT_Junction
1195,1,Expected
1196,8,HGT_Junction
1197,4,Expected
1198,1,HGT_Junction
1199,1,Expected
1200,0,HGT_Junction
1201,5,Expected
1202,1,HGT_Junction
1203,0,Expected
1204,1,HGT_Junction
1205,3,Expected
1206,13,HGT_Junction
1207,8,Expected
1208,1,HGT_Junction
1209,0,Expected
1210,9,HGT_Junction
1211,0,Expected
1212,4,HGT_Junction
1213,0,Expected
1214,0,HGT_Junction
1215,9,Expected
1216,1,HGT_Junction
1217,2,Expected
1218,0,HGT_Junction
1219,2,Expected
