,sample,frequency,mechanism
265,SRR18491288,0.25,alt-EJ
266,SRR18491288,0.0,TEI
267,SRR18491289,0.625,NHEJ
268,SRR18491289,0.375,alt-EJ
269,SRR18491289,0.0,TEI
270,SRR18491290,0.6153846153846154,NHEJ
271,SRR18491290,0.38461538461538464,alt-EJ
272,SRR18491290,0.0,TEI
273,SRR18491291,0.7,NHEJ
274,SRR18491291,0.3,alt-EJ
275,SRR18491291,0.0,TEI
276,SRR18491292,0.6666666666666666,NHEJ
277,SRR18491292,0.3137254901960784,alt-EJ
278,SRR18491292,0.0196078431372549,TEI
279,SRR18491293,0.72,NHEJ
280,SRR18491293,0.24,alt-EJ
281,SRR18491293,0.04,TEI
282,SRR18491294,0.5263157894736842,NHEJ
283,SRR18491294,0.47368421052631576,alt-EJ
284,SRR18491294,0.0,TEI
285,SRR18491295,0.6153846153846154,NHEJ
286,SRR18491295,0.38461538461538464,alt-EJ
287,SRR18491295,0.0,TEI
288,SRR18491296,0.5882352941176471,NHEJ
289,SRR18491296,0.35294117647058826,alt-EJ
290,SRR18491296,0.058823529411764705,TEI
291,SRR18491306,0.6521739130434783,NHEJ
292,SRR18491306,0.34782608695652173,alt-EJ
293,SRR18491306,0.0,TEI
294,SRR18491317,0.5454545454545454,NHEJ
295,SRR18491317,0.4090909090909091,alt-EJ
296,SRR18491317,0.045454545454545456,TEI
297,SRR18491328,0.7333333333333333,NHEJ
298,SRR18491328,0.2,alt-EJ
299,SRR18491328,0.06666666666666667,TEI
