	sample	HGT_count	level	group
899	75	190	2	CRC
900	56	145	2	control
901	76	190	2	CRC
902	77	190	2	CRC
903	57	145	2	control
904	78	190	2	CRC
905	58	147	2	control
906	59	147	2	control
907	60	148	2	control
908	79	190	2	CRC
909	80	190	2	CRC
910	81	190	2	CRC
911	61	149	2	control
912	82	192	2	CRC
913	62	149	2	control
914	83	192	2	CRC
915	63	149	2	control
916	64	151	2	control
917	65	152	2	control
918	84	192	2	CRC
919	66	155	2	control
920	85	194	2	CRC
921	67	155	2	control
922	86	195	2	CRC
923	87	195	2	CRC
924	88	195	2	CRC
925	68	155	2	control
926	89	195	2	CRC
927	69	155	2	control
928	70	156	2	control
929	90	197	2	CRC
930	91	197	2	CRC
931	71	157	2	control
932	92	197	2	CRC
933	72	157	2	control
934	93	197	2	CRC
935	73	158	2	control
936	94	197	2	CRC
937	74	159	2	control
938	75	160	2	control
939	95	197	2	CRC
940	96	197	2	CRC
941	76	160	2	control
942	97	197	2	CRC
943	98	197	2	CRC
944	99	197	2	CRC
945	100	198	2	CRC
946	101	198	2	CRC
947	102	201	2	CRC
948	103	204	2	CRC
949	104	204	2	CRC
950	105	205	2	CRC
951	106	205	2	CRC
952	77	160	2	control
953	78	160	2	control
954	79	160	2	control
955	107	205	2	CRC
956	108	205	2	CRC
957	109	205	2	CRC
958	80	165	2	control
959	110	205	2	CRC
960	81	166	2	control
961	82	166	2	control
962	111	205	2	CRC
963	83	166	2	control
964	112	205	2	CRC
965	84	167	2	control
966	113	205	2	CRC
967	85	168	2	control
968	86	168	2	control
969	87	168	2	control
970	88	170	2	control
971	89	170	2	control
972	114	205	2	CRC
973	90	170	2	control
974	115	205	2	CRC
975	116	205	2	CRC
976	91	171	2	control
977	92	171	2	control
978	93	171	2	control
979	117	205	2	CRC
980	94	171	2	control
981	118	205	2	CRC
982	95	171	2	control
983	119	206	2	CRC
984	96	171	2	control
985	97	171	2	control
986	120	206	2	CRC
987	98	171	2	control
988	99	176	2	control
989	121	206	2	CRC
990	100	178	2	control
991	101	178	2	control
992	122	206	2	CRC
993	102	180	2	control
994	103	180	2	control
995	123	207	2	CRC
996	124	207	2	CRC
997	125	207	2	CRC
998	104	180	2	control
999	126	207	2	CRC
1000	127	207	2	CRC
1001	128	207	2	CRC
1002	129	207	2	CRC
1003	105	180	2	control
1004	106	180	2	control
1005	107	180	2	control
1006	130	207	2	CRC
1007	108	180	2	control
1008	131	207	2	CRC
1009	109	180	2	control
1010	110	180	2	control
1011	111	180	2	control
1012	112	180	2	control
1013	132	207	2	CRC
1014	113	180	2	control
1015	114	180	2	control
1016	115	180	2	control
1017	116	180	2	control
1018	133	209	2	CRC
1019	134	209	2	CRC
1020	135	209	2	CRC
1021	117	180	2	control
1022	136	209	2	CRC
1023	137	209	2	CRC
1024	118	180	2	control
1025	119	182	2	control
1026	138	209	2	CRC
1027	120	182	2	control
1028	139	211	2	CRC
1029	121	182	2	control
1030	122	182	2	control
1031	140	211	2	CRC
1032	141	211	2	CRC
1033	142	211	2	CRC
1034	143	211	2	CRC
1035	144	212	2	CRC
1036	145	212	2	CRC
1037	146	213	2	CRC
1038	147	213	2	CRC
1039	148	213	2	CRC
1040	123	182	2	control
1041	124	184	2	control
1042	125	185	2	control
1043	149	213	2	CRC
1044	126	185	2	control
1045	127	185	2	control
1046	150	213	2	CRC
1047	151	213	2	CRC
1048	128	190	2	control
1049	152	213	2	CRC
1050	129	190	2	control
1051	153	213	2	CRC
1052	130	190	2	control
1053	154	213	2	CRC
1054	131	190	2	control
1055	155	213	2	CRC
1056	132	190	2	control
1057	133	190	2	control
1058	134	190	2	control
1059	156	213	2	CRC
1060	135	190	2	control
1061	136	191	2	control
1062	137	191	2	control
1063	157	213	2	CRC
1064	158	214	2	CRC
1065	138	191	2	control
1066	139	193	2	control
1067	140	193	2	control
1068	141	193	2	control
1069	159	214	2	CRC
1070	160	214	2	CRC
1071	161	214	2	CRC
1072	162	214	2	CRC
1073	142	193	2	control
1074	163	216	2	CRC
1075	164	216	2	CRC
1076	165	218	2	CRC
1077	143	194	2	control
1078	166	218	2	CRC
1079	167	218	2	CRC
1080	168	218	2	CRC
1081	169	218	2	CRC
1082	170	218	2	CRC
1083	144	195	2	control
1084	145	195	2	control
1085	146	195	2	control
1086	171	218	2	CRC
1087	147	195	2	control
1088	148	196	2	control
1089	149	197	2	control
1090	172	218	2	CRC
1091	150	197	2	control
1092	151	197	2	control
1093	152	197	2	control
1094	173	218	2	CRC
1095	153	197	2	control
1096	154	198	2	control
1097	155	198	2	control
1098	156	198	2	control
1099	157	198	2	control
1100	158	198	2	control
1101	174	218	2	CRC
1102	175	218	2	CRC
1103	176	218	2	CRC
1104	177	218	2	CRC
1105	159	198	2	control
1106	160	198	2	control
1107	161	200	2	control
1108	162	200	2	control
1109	178	218	2	CRC
1110	163	200	2	control
1111	164	200	2	control
1112	179	231	2	CRC
1113	180	231	2	CRC
1114	181	231	2	CRC
1115	182	231	2	CRC
1116	183	231	2	CRC
1117	184	231	2	CRC
1118	185	232	2	CRC
1119	165	200	2	control
1120	166	204	2	control
1121	167	204	2	control
1122	186	232	2	CRC
1123	187	232	2	CRC
1124	168	205	2	control
1125	188	232	2	CRC
1126	169	205	2	control
1127	170	205	2	control
1128	171	205	2	control
1129	189	236	2	CRC
1130	172	205	2	control
1131	190	236	2	CRC
1132	191	236	2	CRC
1133	192	236	2	CRC
1134	193	236	2	CRC
1135	194	236	2	CRC
1136	195	237	2	CRC
1137	173	205	2	control
1138	174	205	2	control
1139	175	205	2	control
1140	176	206	2	control
1141	196	237	2	CRC
1142	197	237	2	CRC
1143	177	206	2	control
1144	178	206	2	control
1145	198	237	2	CRC
1146	179	207	2	control
1147	180	207	2	control
1148	199	237	2	CRC
1149	200	238	2	CRC
1150	181	207	2	control
1151	201	238	2	CRC
1152	182	207	2	control
1153	183	207	2	control
1154	184	207	2	control
1155	185	207	2	control
1156	186	207	2	control
1157	187	208	2	control
1158	188	208	2	control
1159	189	210	2	control
1160	202	238	2	CRC
1161	190	210	2	control
1162	191	213	2	control
1163	203	238	2	CRC
1164	192	213	2	control
1165	204	238	2	CRC
1166	193	213	2	control
1167	194	213	2	control
1168	205	238	2	CRC
1169	195	213	2	control
1170	206	238	2	CRC
1171	207	238	2	CRC
1172	196	214	2	control
1173	197	214	2	control
1174	208	238	2	CRC
1175	209	238	2	CRC
1176	210	238	2	CRC
1177	211	238	2	CRC
1178	212	238	2	CRC
1179	198	214	2	control
1180	199	217	2	control
1181	213	238	2	CRC
1182	200	217	2	control
