,Ratio,Group,cohort
296,0.6557377049180327,control,ZellerG_2014
297,0.3584905660377358,CRC,ZellerG_2014
298,0.06557377049180328,control,ZellerG_2014
299,0.07547169811320754,CRC,ZellerG_2014
300,0.19672131147540983,control,ZellerG_2014
301,0.09433962264150944,CRC,ZellerG_2014
302,0.4262295081967213,control,ZellerG_2014
303,0.32075471698113206,CRC,ZellerG_2014
304,0.26229508196721313,control,ZellerG_2014
305,0.20754716981132076,CRC,ZellerG_2014
306,0.4918032786885246,control,ZellerG_2014
307,0.20754716981132076,CRC,ZellerG_2014
308,0.4918032786885246,control,ZellerG_2014
309,0.4716981132075472,CRC,ZellerG_2014
310,0.14754098360655737,control,ZellerG_2014
311,0.2641509433962264,CRC,ZellerG_2014
312,0.3770491803278688,control,ZellerG_2014
313,0.2641509433962264,CRC,ZellerG_2014
314,0.22950819672131148,control,ZellerG_2014
315,0.18867924528301888,CRC,ZellerG_2014
316,0.18032786885245902,control,ZellerG_2014
317,0.05660377358490566,CRC,ZellerG_2014
318,0.3770491803278688,control,ZellerG_2014
319,0.16981132075471697,CRC,ZellerG_2014
320,0.3114754098360656,control,ZellerG_2014
321,0.1320754716981132,CRC,ZellerG_2014
322,0.32786885245901637,control,ZellerG_2014
323,0.2641509433962264,CRC,ZellerG_2014
324,0.5409836065573771,control,ZellerG_2014
325,0.41509433962264153,CRC,ZellerG_2014
326,0.39344262295081966,control,ZellerG_2014
327,0.32075471698113206,CRC,ZellerG_2014
328,0.13114754098360656,control,ZellerG_2014
329,0.05660377358490566,CRC,ZellerG_2014
330,0.22950819672131148,control,ZellerG_2014
331,0.09433962264150944,CRC,ZellerG_2014
332,0.09836065573770492,control,ZellerG_2014
333,0.1509433962264151,CRC,ZellerG_2014
334,0.29508196721311475,control,ZellerG_2014
335,0.32075471698113206,CRC,ZellerG_2014
336,0.9180327868852459,control,ZellerG_2014
337,0.660377358490566,CRC,ZellerG_2014
338,0.8032786885245902,control,ZellerG_2014
339,0.6037735849056604,CRC,ZellerG_2014
340,0.14754098360655737,control,ZellerG_2014
341,0.09433962264150944,CRC,ZellerG_2014
342,0.16393442622950818,control,ZellerG_2014
343,0.22641509433962265,CRC,ZellerG_2014
344,0.06557377049180328,control,ZellerG_2014
345,0.03773584905660377,CRC,ZellerG_2014
346,0.45901639344262296,control,ZellerG_2014
347,0.24528301886792453,CRC,ZellerG_2014
348,0.6065573770491803,control,ZellerG_2014
349,0.39622641509433965,CRC,ZellerG_2014
350,0.11475409836065574,control,ZellerG_2014
351,0.11320754716981132,CRC,ZellerG_2014
352,0.16393442622950818,control,ZellerG_2014
353,0.05660377358490566,CRC,ZellerG_2014
354,0.4426229508196721,control,ZellerG_2014
355,0.1509433962264151,CRC,ZellerG_2014
356,0.6885245901639344,control,ZellerG_2014
357,0.39622641509433965,CRC,ZellerG_2014
358,0.08196721311475409,control,ZellerG_2014
359,0.11320754716981132,CRC,ZellerG_2014
360,0.04918032786885246,control,ZellerG_2014
361,0.018867924528301886,CRC,ZellerG_2014
362,0.26229508196721313,control,ZellerG_2014
363,0.20754716981132076,CRC,ZellerG_2014
364,0.22950819672131148,control,ZellerG_2014
365,0.20754716981132076,CRC,ZellerG_2014
366,0.08196721311475409,control,ZellerG_2014
367,0.018867924528301886,CRC,ZellerG_2014
368,0.29508196721311475,control,ZellerG_2014
369,0.18867924528301888,CRC,ZellerG_2014
370,0.9672131147540983,control,ZellerG_2014
371,0.8490566037735849,CRC,ZellerG_2014
372,0.6065573770491803,control,ZellerG_2014
